facility_name,zip_code,formatted_zipcode,city,county
Rifle Animal Shelter,81650,81650,Rifle,Garfield
Riverdale Animal Shelter,80601,80601,Brighton,Adams
Rocky Ford Animal Shelter,81067,81067,Rocky Ford,Otero
Rocky Ford Police Department,81067,81067,Rocky Ford,Otero
"Rocky Mountain Cocker Rescue, Inc",80122,80122,Littleton,Arapahoe
"Rocky Mountain Collie And Sheltie Rescue, Inc",81007,81007,Pueblo,Pueblo
Rocky Mountain Dachshund Rescue,80126,80126,Littleton,Douglas
"Rocky Mountain Feline Rescue, Inc",80223,80223,Denver,Denver
Rocky Mountain French Bulldog Rescue,80016,80016,Aurora,Arapahoe
Rocky Mountain German Shorthaired Pointer Rescue,80107,80107,Elizabeth,Elbert
"Rocky Mountain Great Dane Rescue, Inc",80228,80228,Denver,Jefferson
Rocky Mountain House Rabbit Rescue,80516,80516,Erie,Weld
Rocky Mountain Lab Rescue,80038,80038,Broomfield,Broomfield
Rocky Mountain Old English Sheepdog Rescue,80132,80132,Monument,El Paso
Rocky Mountain Puppy Rescue,80513,80513,Berthoud,Larimer
"Rocky Mountain Scottie Rescue, Inc",80209,80209,Denver,Denver
Rocky Mountain Siamese Rescue,80132,80132,Monument,El Paso
Rocky Mountain Society Of Aviculture,80204,80204,Denver,Denver
Rocky Mountain Wildheart,80814,80814,Divide,Teller
Rocky Mountain Yorkie Rescue,80108,80108,Castle Rock,Douglas
Roice - Hurst Humane Society,81505,81505,Grand Junction,Mesa
Rottie Aid,80162,80162,Littleton,Arapahoe
Routt County Humane Society,80487,80487,Steamboat Springs,Routt
Ruff Around The Edges,80516,80516,Erie,Weld
Ruff Rescue,80210,80210,Denver,Denver
Rugby's Rescue House,80138,80138,Parker,Douglas
Running Dog Ranch Animal Rescue,80465,80465,Morrison,Jefferson
Safe Harbor Lab Rescue,80403,80403,Golden,Jefferson
Safe Place For Pets,80909,80909,Colorado Springs,El Paso
San Luis Valley Animal Welfare Society,81101,81101,Alamosa,Alamosa
Save The Giants,80124,80124,Lone Tree,Douglas
Saving Dobermankind Animal Rescue,80123,80123,Littleton,Jefferson
Scales N' Tails (St Boulder),80234,80234,Denver,Adams
Scales N' Tails (St East),80234,80234,Denver,Adams
Scales N' Tails (St North),80234,80234,Denver,Adams
Scales N' Tails Northglenn,80234,80234,Denver,Adams
"Scroungy Dogs And Pretty Pups Rescue, Inc",80920,80920,Colorado Springs,El Paso
Second Chance Animal Rescue Foundation,80910,80910,Colorado Springs,El Paso
"Second Chance Humane Society, Inc",81432,81432,Ridgway,Ouray
